Type,Facility License ID,Facility Name,Street Address,City,State,Zip,Phone Number,County,Inspection Type,Georeferenced Column
Emission Repair Facility,ERF001610,OAKLEYS AUTOMOTIVE,23 MARTIN LUTHER K,MORRISTOWN,NJ,7960,9735400630,MORRIS,Auto Only,
Emission Repair Facility,ERF003122,SARICA LLC,661 BROADWAY,WESTWOOD,NJ,7675,2016643161,BERGEN,Auto Only,"661 BROADWAY
WESTWOOD, NJ 07675
(40.995662, -74.035961)"
Emission Repair Facility,ERF003210,ROUTE 88 VEHICLE CORP,1085 RTE 88,LAKEWOOD,NJ,8701,7323709700,OCEAN,Auto Only,
Private Inspection Facility,PIF000801,MAD MADDY INC,130 RYERSON STE 104,WAYNE,NJ,7470,9736339692,PASSAIC,Diesel Only,
Private Inspection Facility,PIF000819,DIGS DIESEL SERVICE,PO BOX 543 RT 513,CALIFON,NJ,7830,9088326197,HUNTERDON,Diesel Only,
Private Inspection Facility,PIF000931,HUNTERDON DIESEL REP LLC,2026 RT 31 N STE 10,GLEN GARDNER,NJ,8826,9086383142,HUNTERDON,Diesel Only,
Private Inspection Facility,PIF001052,RND AUTO & TRUCK LLC,POB 329 73 GREEN POND RD,ROCKAWAY,NJ,7866,9737843755,MORRIS,Diesel Only,
Private Inspection Facility,PIF001169,"HOP OPERATING COMPANY, LLC",987 STATE RD RT. 206,PRINCETON,NJ,8540,6096830722,MERCER,Auto Only,
Private Inspection Facility,PIF001286,DW & JC OTTERSTEDT INC,375 CHESTNUT RGE,WOODCLIFF LK,NJ,7677,2013912494,BERGEN,Auto Only,
Private Inspection Facility,PIF001762,CHERRY HILL AUTOS INC,1810 ROUTE 70 WEST,CHERRY HILL,NJ,8002,8566654050,CAMDEN,Auto Only,
Private Inspection Facility,PIF006630,ALS SERVICE CENTER INC,PO BOX 6,PRINCETON JCT,NJ,8550,6097992252,MERCER,Auto Only,
Private Inspection Facility,PIF000428,WOODY'S AUTOMOTIVE,1248 SUSSEX TKP PO BOX 331,MT FREEDOM,NJ,7970,9732521144,MORRIS,Auto Only,
Private Inspection Facility,PIF000959,TONY DICESARE'S ATO SRV LLC,301-305 HADDON AVE,WESTMONT,NJ,8108,8568583000,CAMDEN,Auto Only,"301-305 HADDON AVE
WESTMONT, NJ 08108
(39.908181, -75.046102)"
Emission Repair Facility,ERF000418,CONTEMPORARY MOTOR CARS INC,100 OCEANPORT AV,LTL SLVR,NJ,7739,7328425353,MONMOUTH,Auto Only,"100 OCEANPORT AV
LTL SLVR, NJ 07739
(40.323197, -74.037438)"
Private Inspection Facility,PIF008691,MIKES SERVICE,704 CROWN POINT RD,WESTVILLE,NJ,8093,8564566882,GLOUCESTER,Auto Only,"704 CROWN POINT RD
WESTVILLE, NJ 08093
(39.868373, -75.135346)"
Private Inspection Facility,PIF001230,SKIP'S GARAGE,51 TENNENT ROAD,MORGANVILLE,NJ,7751,7325919827,MONMOUTH,Auto Only,"51 TENNENT ROAD
MORGANVILLE, NJ 07751
(40.379772, -74.248512)"
Private Inspection Facility,PIF011457,CENTRAL JERSEY AUTO REP INC,101 OAKTREE AVE,SO PLAINFIELD,NJ,7080,9087534337,MIDDLESEX,Auto Only,"101 OAKTREE AVE
SO PLAINFIELD, NJ 07080
(40.57867, -74.41032)"
Private Inspection Facility,PIF000812,BERGEY'S TRUCKS INC,7255 NORTH CRESCENT BLVD,PENNSAUKEN,NJ,8110,8566627601,CAMDEN,Diesel Only,"7255 NORTH CRESCENT BLVD
PENNSAUKEN, NJ 08110
(39.968204, -75.045624)"
Private Inspection Facility,PIF008958,YOUR TOWN GARAGE INC,1008 AMWELL ROAD,MILLSTONE,NJ,8844,9083591331,SOMERSET,Auto Only,"1008 AMWELL ROAD
MILLSTONE, NJ 08844
(40.502808, -74.588134)"
Private Inspection Facility,PIF010011,R.C.S. AUTOMOTIVE REPAIRS I,223 WASHINGTON ST.,BOONTON,NJ,7005,9733350770,MORRIS,Auto Only,"223 WASHINGTON ST.
BOONTON, NJ 07005
(40.900548, -74.408124)"
Private Inspection Facility,PIF000362,TIGER RUN INC,254 RT 46 EAST,FAIRFIELD,NJ,7004,9732275348,BERGEN,Auto Only,"254 RT 46 EAST
FAIRFIELD, NJ 07004
(40.876525, -74.299608)"
Private Inspection Facility,PIF001210,MAGNOLIA SERVICE #1 INC,1612 ROUTE 9,TOMS RIVER,NJ,8755,7328314846,OCEAN,Auto Only,"1612 ROUTE 9
TOMS RIVER, NJ 08755
(40.009652, -74.21607)"
Private Inspection Facility,PIF010933,QUALITY AUTO CTR INC,254 VALLEY ST,SOUTH ORANGE,NJ,7079,9737620575,ESSEX,Auto Only,"254 VALLEY ST
SOUTH ORANGE, NJ 07079
(40.741857, -74.262147)"
Emission Repair Facility,ERF002829,REYDEL VW INC,2034 LINCOLN HWY POB 853,EDISON,NJ,8818,7322872828,MIDDLESEX,Auto Only,"2034 LINCOLN HWY POB 853
EDISON, NJ 08818
(40.523086, -74.391494)"
Private Inspection Facility,PIF009400,LONG HILL AUTO SERVICE INC,1905 LONG HILL RD,MILLINGTON,NJ,7946,9086477984,MONMOUTH,Auto Only,"1905 LONG HILL RD
MILLINGTON, NJ 07946
(40.673704, -74.522514)"
